Tweet,Sentiment
He played too slow in the 2019 semi-final. (7),Negative
Dhoni's jersey number is 7. (5),Neutral
I have massive respect for MS Dhoni. (13),Positive
CSK is nothing without Thala. (17),Positive
Dhoni won us the World Cup! (37),Positive
MS Dhoni is the captain of Chennai Super Kings. (10),Neutral
Mahi is my biggest inspiration. (23),Positive
He was a good player but past his prime now. (16),Negative
Dhoni won us the World Cup! (27),Positive
I don't like how CSK relies only on Dhoni. (23),Negative
Mahi was born in Ranchi. (25),Neutral
Dhoni hit a six in yesterday's match. (18),Neutral
Mahi's helicopter shot is iconic. (9),Positive
I feel MS Dhoni is a bit overrated. (8),Negative
No one can replace MS Dhoni in Indian Cricket. (22),Positive
I saw a news article about Dhoni today. (3),Neutral
Too much unnecessary hype around Dhoni. (14),Negative
Dhoni's jersey number is 7. (11),Neutral
His defensive strategy cost us matches sometimes. (26),Negative
Mahi's helicopter shot is iconic. (21),Positive
No one can replace MS Dhoni in Indian Cricket. (35),Positive
I have massive respect for MS Dhoni. (11),Positive
He was a good player but past his prime now. (28),Negative
I saw a news article about Dhoni today. (7),Neutral
Dhoni won us the World Cup! (25),Positive
Dhoni hit a six in yesterday's match. (8),Neutral
There is a biopic movie made on MS Dhoni. (9),Neutral
Dhoni announced his retirement on August 15. (6),Neutral
Dhoni should have retired much earlier. (10),Negative
Mahi is my biggest inspiration. (12),Positive
MS Dhoni is the greatest captain ever! (19),Positive
I don't like how CSK relies only on Dhoni. (29),Negative
MSD has played many ICC tournaments. (2),Neutral
He played too slow in the 2019 semi-final. (4),Negative
No one can replace MS Dhoni in Indian Cricket. (39),Positive
Mahi was born in Ranchi. (15),Neutral
Best finisher in the history of cricket. (10),Positive
I saw a news article about Dhoni today. (28),Neutral
MS Dhoni is the greatest captain ever! (20),Positive
Dhoni won us the World Cup! (6),Positive
Dhoni took the spot of younger players. (21),Negative
His strike rate was too low in the last few years. (13),Negative
Dhoni's jersey number is 7. (12),Neutral
Dhoni's wicketkeeping skills are unmatched. (7),Positive
Dhoni hit a six in yesterday's match. (17),Neutral
Thala for a reason! (14),Positive
His defensive strategy cost us matches sometimes. (22),Negative
Best finisher in the history of cricket. (31),Positive
There is a biopic movie made on MS Dhoni. (27),Neutral
He was a good player but past his prime now. (17),Negative
There is a biopic movie made on MS Dhoni. (14),Neutral
He was a good player but past his prime now. (24),Negative
His strike rate was too low in the last few years. (5),Negative
Thala for a reason! (26),Positive
Not a fan of his test captaincy. (15),Negative
Dhoni should have retired much earlier. (3),Negative
He was a good player but past his prime now. (20),Negative
MS Dhoni is the greatest captain ever! (38),Positive
MSD has played many ICC tournaments. (29),Neutral
CSK is nothing without Thala. (16),Positive
Dhoni was at the event in Mumbai. (30),Neutral
He was a good player but past his prime now. (1),Negative
Dhoni was at the event in Mumbai. (26),Neutral
Best finisher in the history of cricket. (36),Positive
MS Dhoni is the captain of Chennai Super Kings. (19),Neutral
I don't like how CSK relies only on Dhoni. (19),Negative
MS Dhoni played for the Indian Cricket Team. (4),Neutral
Thala for a reason! (28),Positive
CSK is nothing without Thala. (40),Positive
CSK is nothing without Thala. (15),Positive
Mahi's helicopter shot is iconic. (4),Positive
Dhoni took the spot of younger players. (9),Negative
Mahi is my biggest inspiration. (5),Positive
Dhoni's jersey number is 7. (13),Neutral
MS Dhoni is the greatest captain ever! (18),Positive
Dhoni announced his retirement on August 15. (20),Neutral
Mahi was born in Ranchi. (1),Neutral
I have massive respect for MS Dhoni. (3),Positive
Dhoni's wicketkeeping skills are unmatched. (2),Positive
Best finisher in the history of cricket. (32),Positive
He played too slow in the 2019 semi-final. (12),Negative
MS Dhoni is the captain of Chennai Super Kings. (22),Neutral
Not a fan of his test captaincy. (27),Negative
His defensive strategy cost us matches sometimes. (11),Negative
Dhoni announced his retirement on August 15. (21),Neutral
Dhoni's wicketkeeping skills are unmatched. (30),Positive
CSK is nothing without Thala. (34),Positive
Dhoni announced his retirement on August 15. (23),Neutral
MS Dhoni played for the Indian Cricket Team. (24),Neutral
No one can replace MS Dhoni in Indian Cricket. (33),Positive
Thala for a reason! (24),Positive
CSK is nothing without Thala. (29),Positive
His strike rate was too low in the last few years. (30),Negative
Dhoni took the spot of younger players. (25),Negative
I have massive respect for MS Dhoni. (1),Positive
Too much unnecessary hype around Dhoni. (18),Negative
Dhoni should have retired much earlier. (6),Negative
Too much unnecessary hype around Dhoni. (2),Negative
Dhoni's wicketkeeping skills are unmatched. (8),Positive
MSD has played many ICC tournaments. (16),Neutral
